4,1,630,1.5287512287831773,1.360730165782701,13.576128938574417,0,0,0,0,0,4-1,2.5,free
5,1,630,2.8935609912724614,1.4393737263684732,13.720066311211264,0,0,0,0,0,4-1,2.5,free
6,1,630,4.272706324707457,1.4277404627737,13.862840357488635,0,0,0,0,0,4-1,2.5,free
7,1,630,5.666071366562303,1.4162012211965491,14.004460479608289,0,0,0,0,0,4-1,2.5,free
8,1,630,7.073557638813799,1.408044858133608,14.14526496542165,0,0,0,0,0,4-1,2.5,free
9,1,630,8.49508749856794,1.4006726423951594,14.285332229661165,0,0,0,0,0,4-1,2.5,free
10,1,630,9.930587416663908,1.3933390259702059,14.424666132258185,0,0,0,0,0,4-1,2.5,free
11,1,630,11.379984248923533,1.3860438067611616,14.5632705129343,0,0,0,0,0,4-1,2.5,free
12,1,630,12.843205234135606,1.3787867837285799,14.701149191307158,0,0,0,0,0,4-1,2.5,free
13,1,630,14.32017799205075,1.3715677568856126,14.83830596699572,0,0,0,0,0,4-1,2.5,free
14,1,630,15.810830521386784,1.3643865272924987,14.97474461972497,0,0,0,0,0,4-1,2.5,free
15,1,630,17.315091197844538,1.3572428970510833,15.110468909430077,0,0,0,0,0,4-1,2.5,free
16,1,630,18.83288877213404,1.3501366692993617,15.245482576360013,0,0,0,0,0,4-1,2.4353978834889696,free
17,1,630,20.364152368011073,1.3430676482060575,15.379789341180619,0,0,0,0,0,4-1,2.357499959893019,free
18,1,630,21.908811480323962,1.3360356389652221,15.51339290507714,0,0,0,0,0,4-1,2.2800098928330366,free
19,1,630,23.46679597307063,1.3290404477908706,15.646296949856227,0,0,0,0,0,4-1,2.202925546861166,free
20,1,630,25.03803607746581,1.3220818819116371,15.778505138047391,0,0,0,0,0,4-1,2.1262447977102905,free
21,1,630,26.622462390018377,1.3151597495654657,15.910021113003936,0,0,0,0,0,4-1,2.0499655322354946,free
22,1,630,28.220005870618742,1.308273859994325,16.04084849900337,0,0,0,0,0,4-1,1.9740856483558225,free
23,1,630,29.830597840636273,1.3014240234389503,16.170990901347267,0,0,0,0,0,4-1,1.8986030549963624,free
24,1,630,31.454169981026666,1.2946100511336152,16.30045190646063,0,0,0,0,0,4-1,1.8235156720306125,free
25,1,630,33.09065433044923,1.2878317553009297,16.429235081990722,0,0,0,0,0,4-1,1.7488214302231584,free
26,1,630,34.73998328339404,1.2810889491466655,16.55734397690539,0,0,0,0,0,4-1,1.6745182711726514,free
27,1,630,36.40208958831885,1.2743814468546073,16.68478212159085,0,0,0,0,0,4-1,1.600604147255085,free
28,1,630,38.076908769862484,1.2681938769091403,16.811601509281765,0,0,0,0,0,4-1,1.5270489023943543,free
28,2,630,0.8482377463707512,1.4883402986626226,12.807242513289001,0,0,0,0,0,4-2,2.5,free
29,1,630,39.76439366020827,1.264947883521711,16.938096297633937,0,0,0,0,0,4-1,1.453681925150094,free
29,2,630,2.1363449654968494,1.4765935594395767,12.954901869232959,0,0,0,0,0,4-2,2.5,free
30,1,630,41.46451184096359,1.2617101983853014,17.064267317472467,0,0,0,0,0,4-1,1.3805027336437465,free
30,2,630,3.439159850077454,1.464939531461733,13.101395822379132,0,0,0,0,0,4-2,2.5,free
31,1,630,43.17723097671201,1.2584808002346082,17.190115397495926,0,0,0,0,0,4-1,1.3075108472301402,free
31,2,630,4.756566319730391,1.4533774830047537,13.246733570679607,0,0,0,0,0,4-2,2.5,free
32,1,630,44.9025188148009,1.255259667858757,17.315641364281802,0,0,0,0,0,4-1,1.2347057864943318,free
32,2,630,6.088449210238949,1.4419066881194411,13.39092423949155,0,0,0,0,0,4-2,2.5,free
33,1,630,46.640256480161554,1.2347057864943318,17.439111942931234,0,0,0,0,0,4-1,1.1630928508776617,free
33,2,630,7.434694266321035,1.4305264265861581,13.533976882150167,0,0,0,0,0,4-2,2.5,free
34,1,630,48.38998313870906,1.1630928508776617,17.555421228019,0,0,0,0,0,4-1,1.0956334655267579,free
34,2,630,8.7951881344554,1.419235983869608,13.675900480537129,0,0,0,0,0,4-2,2.5,free
35,1,630,50.1510034288386,1.0956334655267579,17.664984574571676,0,0,0,0,0,4-1,1.0320867245262055,free
35,2,630,10.169818355764482,1.4080346510739699,13.816703945644525,0,0,0,0,0,4-2,2.5,free
36,1,630,51.922662319918395,1.0320867245262055,17.768193247024296,0,0,0,0,0,4-1,0.9722256945036861,free
36,2,630,11.558473358953426,1.3969217248983898,13.956396118134364,0,0,0,0,0,4-2,2.5,free
37,1,630,53.704342773093344,0.9722256945036861,17.865415816474666,0,0,0,0,0,4-1,0.9158366042224708,free
37,2,630,12.961051674757117,1.3877407980507406,14.095170197939439,0,0,0,0,0,4-2,2.5,free
38,1,630,55.49546353776192,0.9158366042224708,17.956999476896915,0,0,0,0,0,4-1,0.862718081177567,free
38,2,630,14.377471591224415,1.380579334670859,14.233228131406525,0,0,0,0,0,4-2,2.5,free
39,1,630,57.2954770758575,0.862718081177567,18.043271285014672,0,0,0,0,0,4-1,0.8126804324692672,free
39,2,630,15.807661678505879,1.3734548281620398,14.37057361422273,0,0,0,0,0,4-2,2.5,free
40,1,630,59.10386760652131,0.8126804324692672,18.124539328261598,0,0,0,0,0,4-1,0.7655449673860505,free
40,2,630,17.25155087536719,1.3663670878076308,14.507210323003493,0,0,0,0,0,4-2,2.5,free
41,1,630,60.9201492641844,0.7655449673860505,18.201093825000203,0,0,0,0,0,4-1,0.7211433592776604,free
41,2,630,18.709068487286917,1.359315923875177,14.643141915391011,0,0,0,0,0,4-2,2.5,free
